title,description,url,clean_text
OPQ Manager Plus Report 2.0,,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,opq manager plus report 20 
Sales Interview Guide,,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,sales interview guide 
Customer Service Phone Solution,,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,customer service phone solution 
SAP SD (Sales and Distribution) (New),,https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,sap sd sales and distribution new 
R Programming (New),,https://www.shl.com/products/product-catalog/view/r-programming-new/,r programming new 
WriteX - Email Writing (Managerial) (New),,https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,writex  email writing managerial new 
Medical Terminology (New),,https://www.shl.com/products/product-catalog/view/medical-terminology-new/,medical terminology new 
Enterprise Java Beans (New),,https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,enterprise java beans new 
Java Frameworks (New),,https://www.shl.com/products/product-catalog/view/java-frameworks-new/,java frameworks new 
Ceramic Engineering (New),,https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,ceramic engineering new 
RESTful Web Services (New),,https://www.shl.com/products/product-catalog/view/restful-web-services-new/,restful web services new 
MS Access (New),,https://www.shl.com/products/product-catalog/view/ms-access-new/,ms access new 
Electronics and Semiconductor Engineering (New),,https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,electronics and semiconductor engineering new 
Swing (New),,https://www.shl.com/products/product-catalog/view/swing-new/,swing new 
SHL Verify Interactive – Numerical Reasoning,,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,shl verify interactive  numerical reasoning 
Apache Pig (New),,https://www.shl.com/products/product-catalog/view/apache-pig-new/,apache pig new 
Digital Readiness Development Report - Manager,,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,digital readiness development report  manager 
SVAR - Spoken Spanish (Castilian) (New),,https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,svar  spoken spanish castilian new 
WriteX - Email Writing (Customer Service) (New),,https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,writex  email writing customer service new 
Digital Readiness Development Report - IC,,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,digital readiness development report  ic 
HiPo Assessment Report 1.0,,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,hipo assessment report 10 
Microsoft SQL Server 2014 Programming,,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,microsoft sql server 2014 programming 
Fundamentals of Chemistry (New),,https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,fundamentals of chemistry new 
Prism (New),,https://www.shl.com/products/product-catalog/view/prism-new/,prism new 
Business Communication (adaptive),,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,business communication adaptive 
ETL Testing (New),,https://www.shl.com/products/product-catalog/view/etl-testing-new/,etl testing new 
Basic Biology (New),,https://www.shl.com/products/product-catalog/view/basic-biology-new/,basic biology new 
.NET WCF (New),,https://www.shl.com/products/product-catalog/view/net-wcf-new/,net wcf new 
MongoDB (New),,https://www.shl.com/products/product-catalog/view/mongodb-new/,mongodb new 
Maven (New),,https://www.shl.com/products/product-catalog/view/maven-new/,maven new 
Reviewing Forms - US (R1),,https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,reviewing forms  us r1 
Visual Comparison - US,,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,visual comparison  us 
Verify - Verbal Ability - Next Generation,,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,verify  verbal ability  next generation 
Global Skills Assessment,,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,global skills assessment 
Reading Comprehension - Spanish v1,,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,reading comprehension  spanish v1 
Pediatrics (New),,https://www.shl.com/products/product-catalog/view/pediatrics-new/,pediatrics new 
WriteX - Email Writing (Sales) (New),,https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,writex  email writing sales new 
Data Entry Ten Key Split Screen,,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,data entry ten key split screen 
Manufacturing & Industrial - Essential Focus 8.0,,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,manufacturing  industrial  essential focus 80 
MFS 360 UCF Performance Potential Dev Tips Report,,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,mfs 360 ucf performance potential dev tips report 
Occupational Personality Questionnaire OPQ32r,,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,occupational personality questionnaire opq32r 
Pharmaceutics (New),,https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,pharmaceutics new 
ReactJS (New),,https://www.shl.com/products/product-catalog/view/reactjs-new/,reactjs new 
C# Programming (New),,https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,c programming new 
Perl (New),,https://www.shl.com/products/product-catalog/view/perl-new/,perl new 
Desktop Support (New),,https://www.shl.com/products/product-catalog/view/desktop-support-new/,desktop support new 
Sales & Service Phone Simulation,,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,sales  service phone simulation 
Microsoft Dynamics Development (New),,https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,microsoft dynamics development new 
